CommCode,NAME
ALP,Alpine
AFK,American Fork
BDL,Bluffdale
BTF,Bountiful
CDF,Cedar Fort
CHL,Cedar Hills
CEN,Centerville
CLR,Clearfield
CLI,Clinton
CMT,Copperton
COT,Cottonwood Heights
DRA,Draper
EAG,Eagle Mountain
ELK,Elk Ridge
FFD,Fairfield
FRM,Farmington
FRR,Farr West
FRU,Fruit Heights
GEN,Genola
GOS,Goshen
HAR,Harrisville
HER,Herriman
HGH,Highland
HOL,Holladay
HOO,Hooper
KAY,Kaysville
KMT,Kearns
LAY,Layton
LEH,Lehi
LIN,Lindon
MMT,Magna
MAP,Mapleton
MSL,Marriott-Slaterville
MID,Midvale
MLC,Millcreek
MUR,Murray
NOG,North Ogden
NSL,North Salt Lake
OGD,Ogden
ORE,Orem
PAY,Payson
PLN,Plain City
PGR,Pleasant Grove
PVW,Pleasant View
PVO,Provo
RVD,Riverdale
RVT,Riverton
ROY,Roy
SLM,Salem
SLC,Salt Lake City
SAN,Sandy
SAQ,Santaquin
SAR,Saratoga Springs
SJC,South Jordan
SOG,South Ogden
SSL,South Salt Lake
SWE,South Weber
SFK,Spanish Fork
SPV,Springville
SUN,Sunset
SYR,Syracuse
TAY,Taylorsville
UIN,Uintah
VIN,Vineyard
WTR,Washington Terrace
WBO,West Bountiful
WHV,West Haven
WJC,West Jordan
WPT,West Point
WVC,West Valley City
WMT,White City
WDL,Woodland Hills
WCR,Woods Cross
