,layer,polygon_id,CM,CU,CC,CN,AA,AT,TT,TF,TA,AC,AH,AE,AG,AP,AM,area_acres
0,CityCenters,Bingham Junction,0.0,0.0,9.952360355404236,0.0,9.114187578941522,5.41582721322959,6.281298454822736,4.719192009810849,10.0,8.402011684477968,3.6824781305657113,1.22796378383314,9.211402646223126,1.3065002421316265,1.1896597634223625,403.21539446875636
1,CityCenters,Jordan Bluffs,0.0,0.0,9.761435390690373,0.0,9.138598611708433,3.5719671175114494,3.5644131633392773,2.5,10.0,4.716195117280559,3.5222548096832864,2.77794387336993,5.671832381638172,0.00019339015822385008,3.275376484972883,249.11374123501943
2,CityCenters,Midvale Main Street,0.0,0.0,9.796752662339513,0.0,9.21421784416648,6.013149786651613,6.911769628047395,6.249781462170822,10.0,8.988999812762193,5.672179614709512,4.639125377996216,10.0,8.933265950929576,2.5,86.13876022604936
3,CityCenters,Union Park,0.0,0.0,9.174844897842739,0.0,9.113170900587814,3.7162410130326173,4.385893741090952,4.6888625172061,9.99125096779412,8.686937767942794,1.0764228404000205,7.444277745094354,9.933529049245244,3.3885427680792173,2.467547936349743,292.9148963960239
4,Communities,Midvale,0.0,0.00015294200867760455,3.246997937939471,0.29916487949513776,9.305858089863603,4.803040672266254,5.497566460045636,4.161064200191558,9.182801248081809,6.3375443695292,5.020223806401305,5.937966097659031,7.069220182647693,2.826893790839541,3.5335211940745053,3072.37074323657
5,NeighborhoodCenters,Midvale Center Station,0.0,0.0,0.0,8.610470946051109,9.548750643048171,7.330598383062138,9.516994127420844,2.7184921937309987,10.0,4.233340061062624,6.655689522811615,6.966349202159251,4.544182764441596,1.8090833504095805,7.546092674004154,64.35331124244725
6,NeighborhoodCenters,Midvale Fort Union Station,0.0,0.0,0.0,9.981608828301672,9.762194601307947,7.410632472089138,9.981464232224367,9.883661101306053,10.0,5.170230778171432,10.0,2.9680981393525525,5.016634917000924,2.5062849124543276,2.5,35.77993715691996
7,UtahQualifiedOpportunityZones,DESIGNATEDQOZ,0.0,0.0,8.029170825534608,0.0,9.153924116160752,4.551786914361379,5.346256193892917,4.067021661046625,10.0,7.055646774128,4.399016961148663,2.766624509555974,8.120329104809953,1.627946340902247,2.4359726006983915,905.1478551865887
